Supplementary Table 5: Associations of somatic mutations in 608 protein coding genes with VTE. Results from minimally adjusted and fully adjusted Cox PH regressions. Genes are ranked in order of P value in minadj regressions. Genes with FDR-P < 0.1 in the minimally adjusted analyses are highlighted blue. Genes with P<0.05 in both minimal and fully adjusted analyses are highlighted grey. ,,,,,,,,,,,,,
,,Minimally adjusted models (adjusted for age + sex + PC1-4),,,,,,Fully' adjusted models (adjusted for age + sex + PC1-4 + tumour type + stage + treatment),,,,,
gene,gene_ID,HR_minadj,l95ci_minadj,u95ci_minadj,pval_minadj,fdr_p,model_covars_minadj,HR_fulladj,l95ci_fulladj,u95ci_fulladj,pval_fulladj,model_covars_fulladj,previously_reported_VTE_locus (references listed in main text)
TP53,ENSG00000141510,1.55,1.38,1.73,1.25e-13,<0.0001,TP53 + age_study_entry + sex + pc1-4,1.17,1.03,1.33,1.63e-02,TP53 + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,"previosly reported somatic VTE locus in cancer studies (Jee et al, 2024; Ma et al, 2024)"
PCDH15,ENSG00000150275,1.48,1.24,1.76,9.44e-06,0.0029,PCDH15 + age_study_entry + sex + pc1-4,1.42,1.19,1.69,9.27e-05,PCDH15 + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
CDKN2A,ENSG00000147889,1.62,1.23,2.13,5.57e-04,0.0944,CDKN2A + age_study_entry + sex + pc1-4,1.40,1.06,1.86,1.94e-02,CDKN2A + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,"previosly reported somatic VTE locus in cancer studies (Jee et al, 2024; Ma et al, 2024)"
KRAS,ENSG00000133703,1.31,1.12,1.53,6.21e-04,0.0944,KRAS + age_study_entry + sex + pc1-4,1.19,1.00,1.42,4.58e-02,KRAS + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,"previously reported somatic VTE locus in cancer studies  (Jee et al, 2024; Ma et al, 2024, Dunbar et al, 2021)"
FHIT,ENSG00000189283,1.35,1.12,1.63,1.66e-03,0.1279,FHIT + age_study_entry + sex + pc1-4,1.28,1.06,1.56,1.23e-02,FHIT + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
DOCK3,ENSG00000088538,0.61,0.45,0.83,1.68e-03,0.1279,DOCK3 + age_study_entry + sex + pc1-4,0.66,0.48,0.90,7.96e-03,DOCK3 + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
CDH1,ENSG00000039068,0.56,0.39,0.81,1.88e-03,0.1279,CDH1 + age_study_entry + sex + pc1-4,0.69,0.48,1.01,5.56e-02,CDH1 + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
ACVR2A,ENSG00000121989,0.60,0.44,0.83,2.19e-03,0.1279,ACVR2A + age_study_entry + sex + pc1-4,0.70,0.50,0.98,3.75e-02,ACVR2A + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
ATG9B,ENSG00000181652,0.72,0.58,0.89,2.39e-03,0.1279,ATG9B + age_study_entry + sex + pc1-4,0.73,0.59,0.91,4.47e-03,ATG9B + age_study_entry + sex + pc1-4 + disease_type + stage_grouped + sact_over6weeks_before_studyentry + current_sact,NA
